# ID,label
0,64
1,74
2,50
3,40
4,70
5,54
6,75
7,50
8,75
9,75
10,74
11,75
12,54
13,75
14,70
15,64
16,54
17,70
18,40
19,75
20,54
21,50
22,54
23,40
24,70
25,65
26,54
27,40
28,76
29,40
30,60
31,54
32,50
33,64
34,64
35,64
36,60
37,65
38,76
39,75
40,75
41,50
42,76
43,50
44,64
45,54
46,65
47,76
48,64
49,70
50,65
51,60
52,65
53,64
54,70
55,76
56,65
57,75
58,50
59,60
60,50
61,64
62,76
63,50
64,70
65,40
66,54
67,40
68,54
69,60
70,74
71,65
72,65
73,64
74,76
75,65
76,40
77,64
78,60
79,40
80,70
81,60
82,64
83,50
84,74
85,54
86,76
87,50
88,50
89,65
90,54
91,40
92,60
93,65
94,75
95,50
96,50
97,60
98,70
99,54
100,64
101,65
102,70
103,40
104,54
105,65
106,54
107,65
108,76
109,60
110,54
111,50
112,64
113,40
114,60
115,40
116,54
117,60
118,75
119,64
120,70
121,60
122,54
123,64
124,64
125,60
126,40
127,75
128,50
129,54
130,40
131,60
132,60
133,50
134,74
135,50
136,50
137,50
138,50
139,75
140,54
141,50
142,54
143,64
144,70
145,40
146,74
147,70
148,70
149,75
150,50
151,54
152,40
153,74
154,50
155,40
156,70
157,40
158,50
159,76
160,50
161,64
162,60
163,65
164,64
165,50
166,64
167,65
168,50
169,64
170,65
171,40
172,74
173,50
174,75
175,54
176,76
177,65
178,76
179,40
180,54
181,54
182,40
183,60
184,60
185,74
186,75
187,76
188,60
189,76
190,75
191,40
192,65
193,74
194,50
195,75
196,75
197,65
198,40
199,64
200,50
201,50
202,60
203,50
204,64
205,75
206,65
207,64
208,50
209,76
210,76
211,64
212,65
213,76
214,65
215,76
216,40
217,75
218,65
219,60
220,65
221,74
222,75
223,60
224,50
225,50
226,64
227,60
228,60
229,50
230,75
231,40
232,74
233,76
234,50
235,50
236,64
237,76
238,54
239,75
240,54
241,74
242,70
243,54
244,54
245,70
246,70
247,54
248,40
249,54
250,65
251,65
252,74
253,70
254,75
255,64
256,54
257,50
258,60
259,76
260,75
261,76
262,70
263,64
264,65
265,64
266,60
267,65
268,76
269,70
270,54
271,54
272,65
273,54
274,75
275,64
276,70
277,40
278,54
279,74
280,50
281,70
282,40
283,64
284,50
285,65
286,74
287,70
288,64
289,70
290,75
291,64
292,70
293,70
294,65
295,60
296,76
297,50
298,50
299,60
300,74
301,40
302,74
303,54
