# ID,Label
0,40
1,65
2,50
3,50
4,40
5,76
6,54
7,54
8,64
9,76
10,40
11,54
12,50
13,70
14,74
15,50
16,64
17,74
18,40
19,65
20,70
21,75
22,70
23,76
24,75
25,54
26,54
27,60
28,60
29,60
30,74
31,64
32,60
33,70
34,50
35,40
36,54
37,76
38,50
39,76
40,65
41,70
42,40
43,65
44,76
45,64
46,40
47,64
48,54
49,64
50,65
51,76
52,54
53,65
54,50
55,60
56,60
57,65
58,40
59,70
60,60
61,40
62,64
63,40
64,60
65,70
66,70
67,60
68,74
69,65
70,54
71,64
72,54
73,40
74,60
75,65
76,70
77,50
78,50
79,60
80,70
81,70
82,50
83,76
84,70
85,60
86,64
87,60
88,76
89,75
90,75
91,65
92,75
93,65
94,64
95,40
96,40
97,76
98,70
99,65
100,64
101,76
102,50
103,40
104,54
105,54
106,74
107,74
108,76
109,50
110,54
111,65
112,40
113,74
114,70
115,40
116,40
117,74
118,76
119,40
120,75
121,65
122,74
123,50
124,65
125,74
126,54
127,76
128,75
129,40
130,40
131,74
132,74
133,40
134,60
135,40
136,54
137,40
138,64
139,76
140,50
141,65
142,60
143,54
144,70
145,60
146,50
147,65
148,50
149,74
150,54
151,64
152,40
153,60
154,50
155,54
156,76
157,65
158,40
159,40
160,74
161,40
162,40
163,74
164,76
165,70
166,75
167,64
168,76
169,75
170,50
171,76
172,76
173,64
174,64
175,74
176,40
177,76
178,54
179,54
180,64
181,75
182,70
183,64
184,74
185,76
186,75
187,50
188,70
189,76
190,75
191,74
192,60
193,60
194,60
195,74
196,54
197,76
198,65
199,50
200,70
201,65
202,50
203,60
204,70
205,64
206,65
207,74
208,50
209,54
210,40
211,75
212,40
213,40
214,54
215,60
216,74
217,64
218,75
219,64
220,50
221,70
222,40
223,64
224,60
225,74
226,54
227,50
228,76
229,76
230,75
231,65
232,76
233,60
234,40
235,65
236,65
237,64
238,65
239,65
240,40
241,54
242,54
243,54
244,60
245,70
246,76
247,74
248,40
249,60
250,70
251,40
252,54
253,64
254,76
255,60
256,70
257,60
258,76
259,74
260,64
261,40
262,70
263,50
264,54
265,75
266,76
267,75
268,40
269,65
270,60
271,74
272,40
273,54
274,75
275,65
276,76
277,75
278,76
279,76
280,76
281,76
282,65
283,60
284,50
285,50
286,60
287,65
288,50
289,60
290,40
291,50
292,75
293,60
294,74
295,54
296,64
297,75
298,65
299,76
300,54
301,74
302,65
303,50
304,40
305,75
306,75
307,60
308,54
309,65
310,65
311,75
312,65
313,76
314,65
315,65
316,60
317,65
318,50
319,65
320,76
321,54
322,75
323,65
324,54
325,74
326,60
327,64
328,60
329,70
330,65
331,75
332,76
333,64
334,40
335,40
336,70
337,40
338,60
339,64
340,40
341,75
342,64
343,40
344,64
345,40
346,75
347,40
348,65
349,40
350,75
351,60
352,50
353,65
354,50
355,50
356,40
357,70
358,40
359,74
360,54
361,65
362,64
363,50
364,70
365,54
366,60
367,75
368,76
369,60
370,64
371,40
372,54
373,75
374,76
375,74
376,54
377,50
378,76
379,60
380,74
381,40
382,60
383,60
384,65
385,50
386,54
387,70
388,76
389,70
390,50
391,75
392,60
393,50
394,75
395,54
396,50
397,76
398,74
399,74
400,65
401,54
402,54
403,64
404,40
405,76
406,50
407,76
408,75
409,76
410,75
411,54
412,65
413,76
414,76
415,70
416,54
417,65
418,65
419,54
420,74
421,74
422,60
423,64
424,40
425,50
426,70
427,54
428,60
429,75
430,54
431,74
432,76
433,76
434,64
435,40
436,54
437,40
438,40
439,70
440,65
441,50
442,75
443,64
444,54
445,70
446,40
447,50
448,40
449,40
450,60
451,40
452,75
453,50
454,76
455,76
456,65
457,65
458,60
459,76
460,65
461,74
462,64
463,60
464,74
465,70
466,75
467,54
468,54
469,60
470,50
471,64
472,65
473,64
474,65
475,50
476,75
477,76
478,75
479,76
480,60
481,76
482,50
483,60
484,64
485,76
486,74
487,75
488,75
489,76
490,76
491,65
492,40
493,74
494,40
495,50
496,60
497,65
498,75
499,50
500,54
501,70
502,74
503,70
504,64
505,70
506,64
507,65
508,70
509,70
510,65
511,54
512,64
513,60
514,64
515,76
516,74
517,64
518,40
519,76
520,70
521,64
522,50
523,64
524,75
525,75
526,40
527,60
528,64
529,70
530,75
531,76
532,70
533,64
534,40
535,65
536,75
537,50
538,40
